iteration,loss,epsilon,eval_reward,avg_pieces_placed,avg_score,timestamp
2280000,3783.037323,0.0100,218.7920,0.00,0.00,2026-04-12T07:21:34.184195
2290000,3806.788536,0.0100,-61.1840,0.00,0.00,2026-04-12T07:40:34.427176
2300000,3755.688350,0.0100,81.4240,0.00,0.00,2026-04-12T07:59:36.172328
2310000,3802.778514,0.0100,-332.6880,0.00,0.00,2026-04-12T08:18:43.578096
2320000,3781.528864,0.0100,-170.9600,0.00,0.00,2026-04-12T08:37:44.253524
2330000,3834.934385,0.0100,-297.7120,0.00,0.00,2026-04-12T08:56:46.923125
2340000,3821.442940,0.0100,-311.3360,0.00,0.00,2026-04-12T09:15:52.278465
2350000,3839.057300,0.0100,-286.0480,0.00,0.00,2026-04-12T09:34:51.547398
2360000,3826.190094,0.0100,-176.0560,0.00,0.00,2026-04-12T09:54:14.495491
2370000,3851.690400,0.0100,-183.5360,0.00,0.00,2026-04-12T10:13:14.318224
2380000,3892.237519,0.0100,-207.5440,0.00,0.00,2026-04-12T10:32:19.247657
2390000,3687.777900,0.0100,-474.3040,0.00,0.00,2026-04-12T10:51:21.167782
2400000,3776.712617,0.0100,-174.8000,0.00,0.00,2026-04-12T11:10:24.446887
2410000,3723.813562,0.0100,-461.8480,0.00,0.00,2026-04-12T11:29:35.211228
2420000,4276.438286,0.0100,-1043.7904,0.00,0.00,2026-04-12T12:10:35.557246
2430000,4953.751917,0.0100,-888.3755,0.00,0.00,2026-04-12T12:31:39.396303
2440000,5885.720215,0.0100,-583.5812,0.00,0.00,2026-04-12T12:53:08.046251
2450000,6749.724716,0.0100,-1025.6792,0.00,0.00,2026-04-12T13:14:02.537121
2460000,6148.973494,0.0100,-903.6484,0.00,0.00,2026-04-12T13:34:46.411383
2470000,5165.770558,0.0100,-658.6650,0.00,0.00,2026-04-12T13:55:45.410387
2480000,4698.406951,0.0100,-955.6793,0.00,0.00,2026-04-12T14:16:41.746608
2490000,4607.199139,0.0100,-651.5036,0.00,0.00,2026-04-12T14:37:46.763250
2500000,4669.405731,0.0100,-617.4719,0.00,0.00,2026-04-12T14:58:51.015103
2510000,4598.690250,0.0100,-795.1400,0.00,0.00,2026-04-12T15:19:44.919645
2520000,4484.182700,0.0100,-942.0594,0.00,0.00,2026-04-12T15:40:33.234495
2530000,4399.968068,0.0100,-620.1023,0.00,0.00,2026-04-12T16:01:18.486162
2540000,4409.024320,0.0100,-775.7940,0.00,0.00,2026-04-12T16:25:34.263776
2550000,4409.344286,0.0100,-976.9920,0.00,0.00,2026-04-12T16:46:10.768361
2560000,4448.279910,0.0100,-616.9880,0.00,0.00,2026-04-12T17:06:46.687791
2570000,4443.566014,0.0100,-596.6040,0.00,0.00,2026-04-12T17:27:33.363151
2580000,4441.076937,0.0100,-593.8460,0.00,0.00,2026-04-12T17:48:25.798776
2590000,4543.851140,0.0100,-678.5520,0.00,0.00,2026-04-12T18:09:27.481401
2600000,4453.158489,0.0100,-818.7260,0.00,0.00,2026-04-12T18:31:00.913737
2610000,4351.249539,0.0100,-836.4400,0.00,0.00,2026-04-12T18:52:10.332875
2620000,4408.794347,0.0100,-812.1500,0.00,0.00,2026-04-12T19:13:33.711879
2630000,4487.653253,0.0100,-537.5140,0.00,0.00,2026-04-12T19:35:08.947439
2640000,4511.943760,0.0100,-452.4480,0.00,0.00,2026-04-12T19:56:26.581272
2650000,4506.937729,0.0100,-840.1120,0.00,0.00,2026-04-12T20:17:49.981487
2660000,4491.268248,0.0100,-560.9000,0.00,0.00,2026-04-12T20:39:03.996170
2670000,4482.896042,0.0100,-528.9180,0.00,0.00,2026-04-12T21:00:17.787842
2680000,4599.127763,0.0100,-307.0900,0.00,0.00,2026-04-12T21:21:42.317986
2690000,4418.790124,0.0100,-617.1800,0.00,0.00,2026-04-12T21:43:17.475159
2700000,4376.323705,0.0100,-754.9980,0.00,0.00,2026-04-12T22:05:04.819985
2710000,4453.743398,0.0100,-552.0540,0.00,0.00,2026-04-12T22:26:39.444167
2720000,4387.645461,0.0100,-734.9900,0.00,0.00,2026-04-12T22:48:19.213251
2730000,4281.623311,0.0100,-649.3920,0.00,0.00,2026-04-12T23:09:55.440211
2740000,4290.573297,0.0100,-354.0280,0.00,0.00,2026-04-12T23:31:45.407696
2750000,4370.077908,0.0100,-601.4260,0.00,0.00,2026-04-12T23:54:08.739286
2760000,4336.694202,0.0100,-617.2640,0.00,0.00,2026-04-13T00:16:19.789725
2770000,4243.874707,0.0100,-838.7620,0.00,0.00,2026-04-13T00:38:13.077377
2780000,4266.544154,0.0100,-598.3280,0.00,0.00,2026-04-13T00:59:41.752067
2790000,6560.166108,0.0100,-712.3461,0.00,0.00,2026-04-13T01:50:26.040958
2800000,10408.308410,0.0100,-918.8533,0.00,0.00,2026-04-13T02:14:50.492252
2810000,12437.312387,0.0100,-629.7304,0.00,0.00,2026-04-13T02:38:48.455626
2820000,13732.001061,0.0100,-301.1082,0.00,0.00,2026-04-13T03:03:17.746953
2830000,14881.721574,0.0100,-463.9725,0.00,0.00,2026-04-13T03:27:00.479289
2840000,15321.262019,0.0100,-179.8605,0.00,0.00,2026-04-13T03:52:32.527847
2850000,15667.481960,0.0100,-458.2637,0.00,0.00,2026-04-13T04:16:36.721027
2860000,15729.566230,0.0100,-730.2910,0.00,0.00,2026-04-13T04:40:24.835022
2870000,15847.830212,0.0100,-329.3130,0.00,0.00,2026-04-13T05:03:37.158174
2880000,16045.595320,0.0100,-751.7961,0.00,0.00,2026-04-13T05:27:19.722855
2890000,16029.280913,0.0100,-763.4010,0.00,0.00,2026-04-13T05:51:08.390604
2900000,15754.508837,0.0100,-666.2033,0.00,0.00,2026-04-13T06:14:45.583073
2910000,15552.602185,0.0100,-332.6915,0.00,0.00,2026-04-13T06:38:11.339969
2920000,16329.025039,0.0100,-298.4439,0.00,0.00,2026-04-13T07:01:47.983765
2930000,16424.458464,0.0100,-561.2443,0.00,0.00,2026-04-13T07:25:24.946744
2940000,16290.604204,0.0100,-728.6000,0.00,0.00,2026-04-13T07:49:21.535007
2950000,16509.836721,0.0100,-626.6724,0.00,0.00,2026-04-13T19:39:17.584974
2960000,16991.108837,0.0100,-524.6538,0.00,0.00,2026-04-13T19:57:21.957922
2970000,16319.845118,0.0100,-841.5865,0.00,0.00,2026-04-13T20:15:28.624943
2980000,16579.754701,0.0100,-905.0437,0.00,0.00,2026-04-13T20:33:26.477453
2990000,16461.944607,0.0100,-1052.5550,0.00,0.00,2026-04-13T20:51:32.329334
3000000,16472.836202,0.0100,-433.4502,0.00,0.00,2026-04-13T21:09:37.563969
3010000,15840.940779,0.0100,-702.3701,0.00,0.00,2026-04-13T21:27:43.875927
3020000,16239.266031,0.0100,-522.4544,0.00,0.00,2026-04-13T21:45:51.294866
3030000,16132.790140,0.0100,-901.3174,0.00,0.00,2026-04-13T22:04:02.001159
3040000,15669.241279,0.0100,-209.8801,0.00,0.00,2026-04-14T11:32:21.384190
3050000,15749.249890,0.0100,-951.7649,0.00,0.00,2026-04-14T11:50:46.400514
3060000,15772.330970,0.0100,-720.4245,0.00,0.00,2026-04-14T12:09:22.640942
3070000,15698.211033,0.0100,-897.9412,0.00,0.00,2026-04-14T12:27:47.525247
3080000,15670.432434,0.0100,-1017.7045,0.00,0.00,2026-04-14T12:46:09.777982
3090000,15724.889029,0.0100,-1032.9168,0.00,0.00,2026-04-14T13:04:44.118123
3100000,15047.115786,0.0100,-370.3222,0.00,0.00,2026-04-14T13:23:08.321333
