episode,timestamp,total_reward,pieces_placed,lines_cleared,avg_reward_100,avg_pieces_100,epsilon,avg_loss_200,curriculum_level
143,2026-04-21 00:14:50,-5.0,8,0,-4.5,10.88,0.7854,0.14022,0
144,2026-04-21 00:14:51,-5.0,11,0,-4.5,10.94,0.78109,0.14261,0
145,2026-04-21 00:14:51,-5.0,8,0,-4.5,10.9,0.77797,0.14397,0
146,2026-04-21 00:14:52,-5.0,9,0,-4.5,10.91,0.77448,0.14556,0
147,2026-04-21 00:14:53,-5.0,14,0,-4.5,10.95,0.76908,0.14769,0
148,2026-04-21 00:14:55,-5.0,12,0,-4.5,11.01,0.76409,0.14869,0
149,2026-04-21 00:14:56,-5.0,15,0,-4.5,11.04,0.75838,0.15048,0
150,2026-04-21 00:14:57,5.0,13,1,-4.4,11.08,0.75347,0.15104,0
151,2026-04-21 00:14:58,-5.0,16,0,-4.4,11.14,0.74746,0.15398,0
152,2026-04-21 00:15:00,-5.0,14,0,-4.4,11.21,0.74225,0.15593,0
153,2026-04-21 00:15:01,5.0,14,1,-4.4,11.25,0.73707,0.1586,0
154,2026-04-21 00:15:02,-5.0,12,0,-4.4,11.3,0.73266,0.16057,0
155,2026-04-21 00:15:03,15.0,15,2,-4.2,11.36,0.72682,0.1656,0
156,2026-04-21 00:15:04,-5.0,12,0,-4.2,11.38,0.72247,0.16986,0
157,2026-04-21 00:15:06,-5.0,13,0,-4.2,11.38,0.71779,0.17345,0
158,2026-04-21 00:15:07,5.0,12,1,-4.1,11.38,0.71349,0.17857,0
159,2026-04-21 00:15:08,-5.0,13,0,-4.1,11.42,0.70887,0.18478,0
160,2026-04-21 00:15:10,-5.0,13,0,-4.2,11.4,0.70427,0.1891,0
161,2026-04-21 00:15:12,-5.0,16,0,-4.2,11.44,0.69866,0.19443,0
162,2026-04-21 00:15:14,15.0,18,2,-4.0,11.48,0.6924,0.20355,0
163,2026-04-21 00:15:14,-5.0,9,0,-4.0,11.46,0.68929,0.20774,0
164,2026-04-21 00:15:16,-5.0,12,0,-4.0,11.47,0.68517,0.21537,0
165,2026-04-21 00:15:17,-5.0,9,0,-4.0,11.43,0.68209,0.22052,0
166,2026-04-21 00:15:18,-5.0,11,0,-4.0,11.41,0.67835,0.22594,0
167,2026-04-21 00:15:19,-5.0,12,0,-4.0,11.44,0.67429,0.23508,0
168,2026-04-21 00:15:20,-5.0,15,0,-4.0,11.49,0.66925,0.24454,0
169,2026-04-21 00:15:22,5.0,13,1,-3.9,11.46,0.66491,0.25214,0
170,2026-04-21 00:15:23,-5.0,12,0,-3.9,11.48,0.66093,0.26023,0
171,2026-04-21 00:15:25,-5.0,17,0,-3.9,11.54,0.65534,0.27231,0
172,2026-04-21 00:15:26,-5.0,11,0,-3.9,11.57,0.65174,0.27862,0
173,2026-04-21 00:15:27,-5.0,12,0,-3.9,11.59,0.64784,0.2855,0
174,2026-04-21 00:15:29,5.0,16,1,-3.8,11.58,0.64268,0.29338,0
175,2026-04-21 00:15:29,-5.0,9,0,-3.8,11.56,0.63979,0.2988,0
176,2026-04-21 00:15:30,-5.0,12,0,-3.8,11.51,0.63596,0.30599,0
177,2026-04-21 00:15:32,5.0,13,1,-3.7,11.52,0.63184,0.31479,0
178,2026-04-21 00:15:33,-5.0,11,0,-3.7,11.57,0.62838,0.3214,0
179,2026-04-21 00:15:35,-5.0,12,0,-3.7,11.6,0.62462,0.32716,0
180,2026-04-21 00:15:36,-5.0,15,0,-3.7,11.63,0.61995,0.33565,0
181,2026-04-21 00:15:37,-5.0,11,0,-3.7,11.66,0.61655,0.34169,0
182,2026-04-21 00:15:38,-5.0,7,0,-3.7,11.63,0.61439,0.34737,0
183,2026-04-21 00:15:39,-5.0,12,0,-3.7,11.67,0.61072,0.35417,0
184,2026-04-21 00:15:40,15.0,14,2,-3.5,11.69,0.60645,0.36537,0
185,2026-04-21 00:15:41,-5.0,12,0,-3.5,11.69,0.60283,0.3746,0
186,2026-04-21 00:15:42,-5.0,15,0,-3.5,11.75,0.59832,0.38657,0
187,2026-04-21 00:15:43,-5.0,14,0,-3.5,11.78,0.59415,0.39584,0
188,2026-04-21 00:15:44,-5.0,9,0,-3.5,11.75,0.59148,0.39958,0
189,2026-04-21 00:15:45,35.0,14,2,-3.1,11.78,0.58735,0.41105,0
190,2026-04-21 00:15:47,-5.0,13,0,-3.2,11.78,0.58354,0.42193,0
191,2026-04-21 00:15:48,5.0,13,1,-3.1,11.85,0.57976,0.43432,0
192,2026-04-21 00:15:49,-5.0,14,0,-3.1,11.9,0.57572,0.44647,0
193,2026-04-21 00:15:50,-5.0,11,0,-3.1,11.91,0.57256,0.45703,0
194,2026-04-21 00:15:51,5.0,18,1,-3.0,11.98,0.56743,0.47492,0
195,2026-04-21 00:15:52,-5.0,10,0,-3.0,11.92,0.5646,0.48421,0
196,2026-04-21 00:15:54,5.0,17,1,-2.9,11.98,0.55982,0.5038,0
197,2026-04-21 00:15:54,-5.0,10,0,-2.9,11.99,0.55702,0.51203,0
198,2026-04-21 00:15:56,-5.0,13,0,-2.9,12.04,0.55341,0.52553,0
199,2026-04-21 00:15:57,-5.0,13,0,-2.9,12.05,0.54983,0.53993,0
200,2026-04-21 00:15:58,-5.0,15,0,-2.9,12.08,0.54572,0.55821,0
201,2026-04-21 00:15:59,-5.0,9,0,-2.9,12.06,0.54327,0.56693,0
202,2026-04-21 00:16:00,-5.0,15,0,-2.9,12.12,0.53921,0.58567,0
203,2026-04-21 00:16:02,5.0,17,1,-2.8,12.16,0.53464,0.61078,0
204,2026-04-21 00:16:03,-5.0,11,0,-2.8,12.18,0.53171,0.62278,0
205,2026-04-21 00:16:03,-5.0,8,0,-2.8,12.14,0.52959,0.63097,0
206,2026-04-21 00:16:04,-5.0,11,0,-2.8,12.13,0.52642,0.64608,0
207,2026-04-21 00:16:05,-5.0,10,0,-2.8,12.11,0.52379,0.65697,0
208,2026-04-21 00:16:06,5.0,13,1,-2.7,12.13,0.52014,0.67479,0
209,2026-04-21 00:16:07,-5.0,10,0,-2.8,12.08,0.51754,0.68439,0
210,2026-04-21 00:16:08,-5.0,11,0,-2.8,12.05,0.51445,0.69529,0
211,2026-04-21 00:16:09,-5.0,14,0,-2.8,12.09,0.51086,0.71404,0
212,2026-04-21 00:16:11,-5.0,13,0,-2.8,12.09,0.50755,0.72646,0
213,2026-04-21 00:16:12,-5.0,13,0,-2.8,12.13,0.50426,0.74184,0
214,2026-04-21 00:16:13,-5.0,12,0,-2.8,12.16,0.50124,0.7543,0
215,2026-04-21 00:16:14,-5.0,13,0,-2.8,12.15,0.49799,0.76814,0
216,2026-04-21 00:16:15,5.0,18,1,-2.7,12.21,0.49353,0.78048,0
217,2026-04-21 00:16:16,-5.0,12,0,-2.7,12.21,0.49057,0.79552,0
218,2026-04-21 00:16:17,-5.0,11,0,-2.7,12.22,0.48788,0.80472,0
219,2026-04-21 00:16:19,-5.0,14,0,-2.7,12.23,0.48448,0.81702,0
220,2026-04-21 00:16:20,-5.0,12,0,-2.7,12.21,0.48158,0.82864,0
221,2026-04-21 00:16:21,-5.0,14,0,-2.7,12.24,0.47822,0.84206,0
222,2026-04-21 00:16:22,-5.0,14,0,-2.7,12.3,0.47488,0.86147,0
223,2026-04-21 00:16:23,-5.0,9,0,-2.7,12.28,0.47275,0.87095,0
224,2026-04-21 00:16:23,-5.0,5,0,-2.7,12.23,0.47157,0.87754,0
225,2026-04-21 00:16:24,-5.0,13,0,-2.7,12.22,0.46851,0.89293,0
226,2026-04-21 00:16:25,-5.0,11,0,-2.7,12.19,0.46594,0.90684,0
227,2026-04-21 00:16:26,-5.0,11,0,-2.7,12.17,0.46339,0.92152,0
228,2026-04-21 00:16:28,-5.0,14,0,-2.7,12.17,0.46015,0.94104,0
229,2026-04-21 00:16:29,5.0,15,1,-2.7,12.19,0.45671,0.95998,0
230,2026-04-21 00:16:30,-5.0,9,0,-2.7,12.18,0.45466,0.96999,0
231,2026-04-21 00:16:31,-5.0,13,0,-2.7,12.18,0.45172,0.98222,0
232,2026-04-21 00:16:32,-5.0,17,0,-2.7,12.25,0.44789,0.99984,0
233,2026-04-21 00:16:33,-5.0,13,0,-2.7,12.28,0.44499,1.00984,0
234,2026-04-21 00:16:34,-5.0,9,0,-2.7,12.25,0.44299,1.01554,0
235,2026-04-21 00:16:35,5.0,11,1,-2.6,12.26,0.44056,1.02325,0
236,2026-04-21 00:16:36,5.0,10,1,-2.5,12.29,0.43836,1.02926,0
237,2026-04-21 00:16:37,5.0,16,1,-2.4,12.35,0.43487,1.04454,0
238,2026-04-21 00:16:39,-5.0,11,0,-2.4,12.36,0.43248,1.05384,0
239,2026-04-21 00:16:41,-5.0,15,0,-2.4,12.43,0.42904,1.06216,0
240,2026-04-21 00:16:42,5.0,15,1,-2.3,12.49,0.42583,1.07015,0
241,2026-04-21 00:16:43,-5.0,14,0,-2.3,12.52,0.42286,1.07794,0
242,2026-04-21 00:16:44,-5.0,14,0,-2.3,12.54,0.41991,1.08418,0
243,2026-04-21 00:16:46,-5.0,12,0,-2.3,12.58,0.4174,1.09035,0
244,2026-04-21 00:16:48,35.0,23,4,-1.9,12.7,0.41262,1.10025,0
245,2026-04-21 00:16:49,-5.0,12,0,-1.9,12.74,0.41015,1.10866,0
246,2026-04-21 00:16:50,-5.0,13,0,-1.9,12.78,0.4075,1.12392,0
247,2026-04-21 00:16:51,-5.0,15,0,-1.9,12.79,0.40445,1.13831,0
248,2026-04-21 00:16:53,-5.0,17,0,-1.9,12.84,0.40103,1.15265,0
249,2026-04-21 00:16:54,-5.0,15,0,-1.9,12.84,0.39803,1.16197,0
250,2026-04-21 00:16:55,-5.0,10,0,-2.0,12.81,0.39604,1.16892,0
251,2026-04-21 00:16:56,-5.0,11,0,-2.0,12.76,0.39367,1.17712,0
