iteration,loss,epsilon,eval_reward,timestamp
110000,30.919177,0.0500,-59.6580,2026-03-03T07:58:29.163724
111000,27.907965,0.0500,-102.5300,2026-03-03T08:02:24.277785
112000,26.926750,0.0500,-83.8960,2026-03-03T08:03:09.912996
113000,27.093688,0.0500,-89.8720,2026-03-03T08:03:55.402464
114000,30.044311,0.0500,-99.0820,2026-03-03T08:04:41.387096
115000,29.138332,0.0500,-82.7740,2026-03-03T08:05:26.317136
116000,27.566530,0.0500,-74.6500,2026-03-03T08:06:12.373255
117000,27.784870,0.0500,-97.2720,2026-03-03T08:06:58.983124
118000,31.533935,0.0500,-72.8720,2026-03-03T08:07:45.067374
119000,32.761641,0.0500,-85.9480,2026-03-03T08:08:30.545022
120000,31.309854,0.0500,-80.2640,2026-03-03T08:09:16.194677
121000,29.973508,0.0500,-77.5400,2026-03-03T08:10:01.646836
122000,31.419188,0.0500,-68.1180,2026-03-03T08:10:47.066996
123000,31.958228,0.0500,-50.6000,2026-03-03T08:11:31.636894
124000,29.386552,0.0500,-113.2280,2026-03-03T08:12:18.118802
125000,31.651813,0.0500,-59.7320,2026-03-03T08:13:04.432919
126000,27.768684,0.0500,-63.8180,2026-03-03T08:13:50.757817
127000,28.364079,0.0500,-71.5380,2026-03-03T08:14:37.600365
128000,27.939064,0.0500,-82.9540,2026-03-03T08:15:23.342640
129000,31.137995,0.0500,-48.3340,2026-03-03T08:16:08.674984
130000,28.189914,0.0500,-79.5960,2026-03-03T08:16:54.867043
131000,27.920640,0.0500,-63.9180,2026-03-03T08:17:41.368202
132000,27.220725,0.0500,-79.9780,2026-03-03T08:18:26.803260
133000,29.063230,0.0500,-92.8540,2026-03-03T08:19:12.735399
134000,33.688432,0.0500,-100.4000,2026-03-03T08:19:57.762656
135000,31.710319,0.0500,-64.1920,2026-03-03T08:20:43.995639
136000,28.243683,0.0500,-66.0960,2026-03-03T08:21:30.079821
137000,28.318817,0.0500,-94.6840,2026-03-03T08:22:14.977794
138000,30.169869,0.0500,-96.1160,2026-03-03T08:23:00.363186
139000,31.060744,0.0500,-74.7980,2026-03-03T08:23:45.447526
140000,32.260704,0.0500,-57.9720,2026-03-03T08:24:30.195164
141000,28.351841,0.0500,-70.0780,2026-03-03T08:25:14.230164
142000,27.464179,0.0500,-72.7740,2026-03-03T08:25:59.740444
143000,28.560223,0.0500,-106.0180,2026-03-03T08:26:46.008143
144000,32.264828,0.0500,-70.4800,2026-03-03T08:27:30.538830
145000,30.838493,0.0500,-56.4920,2026-03-03T08:28:15.132252
146000,27.927012,0.0500,-74.2580,2026-03-03T08:28:59.439403
147000,27.353234,0.0500,-69.0400,2026-03-03T08:29:44.809846
148000,29.077441,0.0500,-77.0180,2026-03-03T08:30:30.693525
149000,30.651090,0.0500,-125.8460,2026-03-03T08:31:15.702504
150000,32.447441,0.0500,-75.0360,2026-03-03T08:32:00.711944
151000,33.389678,0.0500,-78.5240,2026-03-03T08:32:46.383189
152000,33.503481,0.0500,-62.0860,2026-03-03T08:33:31.223054
153000,31.170663,0.0500,-73.4360,2026-03-03T08:34:16.436364
154000,31.637754,0.0500,-61.6420,2026-03-03T08:35:01.940293
155000,27.975871,0.0500,-52.6920,2026-03-03T08:35:48.044208
156000,28.468446,0.0500,-113.6240,2026-03-03T08:36:32.953666
157000,30.175361,0.0500,-150.0140,2026-03-03T08:37:19.620483
158000,32.208985,0.0500,-52.3800,2026-03-03T08:38:06.615430
159000,32.665264,0.0500,-63.7440,2026-03-03T08:38:52.970372
